epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,367.508,0.80864,0.23015,0.15163,1.01892,1.36567,0.80595,0.82568,0.86729,0.44363,0.97479,1,0.99341,0.98609,1.34365,0.15703,0.00627,0.92678,2.00007,0.0018284,0.0018284,0.0018284
28,380.231,0.80244,0.22004,0.15525,0.97979,1.34244,0.78247,0.86676,0.8506,0.46778,0.91112,0.99398,0.98848,0.97375,1.33173,0.18725,0.02024,0.9221,1.97927,0.0018218,0.0018218,0.0018218
29,392.918,0.77856,0.22449,0.1473,1.00055,1.32613,0.67167,0.91197,0.82922,0.48792,0.89139,0.88997,0.96441,0.91404,1.25419,0.16586,0.01642,1.13058,1.89876,0.0018152,0.0018152,0.0018152
30,405.636,0.79816,0.21404,0.14296,0.98001,1.33552,0.8719,0.87952,0.94253,0.52095,0.94952,0.9759,0.98853,0.96471,1.37481,0.17759,0.02392,0.90046,2.13144,0.0018086,0.0018086,0.0018086
31,418.476,0.77474,0.20739,0.13896,0.94548,1.31571,0.82497,0.8253,0.84863,0.46753,1,0.9986,0.995,0.98695,1.24814,0.13048,0.02421,0.91861,1.92542,0.001802,0.001802,0.001802
32,431.194,0.77231,0.20827,0.14601,0.97143,1.3183,0.73104,0.89759,0.86442,0.48014,0.85533,0.96386,0.97962,0.96061,1.33542,0.12456,0.0082,0.8824,1.96869,0.0017954,0.0017954,0.0017954
33,443.936,0.81027,0.20416,0.14602,0.96132,1.33213,0.77328,0.87349,0.83692,0.50286,0.8962,1,0.97291,0.95911,1.19795,0.13197,0.01388,0.90544,1.89724,0.0017888,0.0017888,0.0017888
34,456.682,0.79592,0.20112,0.13614,0.97294,1.32971,0.75949,0.89157,0.8697,0.53804,0.9271,0.99588,0.98863,0.9809,1.18389,0.1261,0.00981,0.89676,1.84393,0.0017822,0.0017822,0.0017822
35,469.628,0.79813,0.21362,0.13863,0.96009,1.33685,0.81769,0.8494,0.90211,0.52632,0.90868,0.94578,0.98014,0.96789,1.17645,0.13982,0.00469,0.88845,1.84192,0.0017756,0.0017756,0.0017756
36,482.346,0.78046,0.18812,0.13099,0.94764,1.31588,0.77332,0.78313,0.75904,0.42248,0.98178,0.96988,0.99387,0.98579,1.46147,0.12025,0.03581,0.96924,2.27469,0.001769,0.001769,0.001769
37,495.093,0.75546,0.19011,0.12562,0.95621,1.30244,0.75128,0.85542,0.88449,0.55678,0.88796,0.93976,0.96479,0.95752,1.13228,0.09794,0.00982,0.9736,1.76247,0.0017624,0.0017624,0.0017624
38,507.788,0.7429,0.18798,0.13701,0.9434,1.28467,0.72408,0.88554,0.86756,0.54164,0.89527,0.92689,0.96696,0.95983,1.15093,0.12205,0.01056,0.90223,1.79699,0.0017558,0.0017558,0.0017558
39,520.562,0.72706,0.18097,0.12447,0.94096,1.28669,0.76886,0.84164,0.87754,0.49989,0.89227,0.96386,0.97363,0.96619,1.25468,0.10425,0.00359,0.92679,1.87963,0.0017492,0.0017492,0.0017492
40,533.299,0.7243,0.18855,0.13442,0.95075,1.2759,0.61936,0.86261,0.76277,0.45094,0.96383,0.96315,0.99127,0.98398,1.23806,0.11178,0.00603,0.95724,1.93816,0.0017426,0.0017426,0.0017426
41,546.083,0.70365,0.18479,0.13125,0.95497,1.26365,0.82673,0.83355,0.88918,0.55251,0.97016,0.97915,0.99137,0.98129,1.04923,0.12376,0.01471,0.89628,1.68602,0.001736,0.001736,0.001736
42,558.952,0.73485,0.19675,0.13598,0.92278,1.27942,0.74059,0.82551,0.87587,0.53332,0.8539,0.9154,0.96224,0.94473,1.11302,0.1511,0.01989,1.00702,1.78464,0.0017294,0.0017294,0.0017294
43,571.67,0.72085,0.172,0.1183,0.93034,1.28254,0.77076,0.83044,0.85547,0.52355,0.90897,0.96251,0.98024,0.96365,1.13417,0.18332,0.0167,0.94616,1.75403,0.0017228,0.0017228,0.0017228
44,584.486,0.71602,0.17061,0.12674,0.94512,1.27554,0.66251,0.92169,0.84334,0.5299,0.78398,0.96386,0.95925,0.93741,1.14399,0.14001,0.00338,0.96582,1.75019,0.0017162,0.0017162,0.0017162
45,597.214,0.74839,0.17885,0.12924,0.91614,1.27444,0.81703,0.8253,0.87449,0.50877,0.99397,0.99233,0.99313,0.98123,1.24036,0.11179,0.01409,0.95788,1.81898,0.0017096,0.0017096,0.0017096
46,609.925,0.72505,0.17416,0.12633,0.91779,1.28052,0.7268,0.84936,0.86144,0.52818,0.94679,0.9759,0.98891,0.97512,1.15604,0.13291,0.00268,0.8728,1.74496,0.001703,0.001703,0.001703
47,622.737,0.71503,0.19021,0.13687,0.93163,1.2758,0.64067,0.92169,0.78059,0.47869,0.81775,0.89198,0.94432,0.92362,1.1609,0.11305,0.00622,0.98891,1.76376,0.0016964,0.0016964,0.0016964
48,635.426,0.70597,0.15903,0.12976,0.91854,1.26213,0.71828,0.77711,0.76436,0.49188,0.9232,0.94135,0.98459,0.97557,1.08391,0.10339,0.0052,0.94866,1.72477,0.0016898,0.0016898,0.0016898
49,648.137,0.728,0.16054,0.12458,0.90269,1.26282,0.71252,0.96386,0.8833,0.50863,0.90724,0.94269,0.98085,0.97325,1.19113,0.104,0.00551,0.87334,1.88751,0.0016832,0.0016832,0.0016832
