epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,841.223,0.11598,0.73093,0.21079,0.31209,0.90183,0.98953,1,0.99358,0.99358,0.98953,1,0.99358,0.79464,0.22786,0.49508,0.05181,0.23863,0.33556,0.00130639,0.00130639,0.00130639
28,871.393,0.11631,0.72157,0.2042,0.30186,0.9026,0.98619,0.97778,0.98229,0.98229,0.98619,0.97778,0.98229,0.70959,0.22448,0.64141,0.16401,0.34175,0.30753,0.00130168,0.00130168,0.00130168
29,901.648,0.116,0.68555,0.19695,0.29236,0.90295,0.97493,0.97778,0.99309,0.98201,0.97493,0.97778,0.99309,0.75138,0.23787,0.56543,0.18335,0.36442,0.31976,0.00129696,0.00129696,0.00129696
30,931.868,0.1129,0.65502,0.19841,0.29907,0.9054,0.97956,0.99629,0.99434,0.97728,0.97956,0.99629,0.99434,0.79585,0.28418,0.47221,0.0899,0.38069,0.3932,0.00129224,0.00129224,0.00129224
31,962.093,0.11184,0.63419,0.18902,0.28198,0.90675,0.97793,1,0.99392,0.96776,0.97793,1,0.99392,0.77439,0.26748,0.52403,0.21108,0.3138,0.37535,0.00128753,0.00128753,0.00128753
32,992.409,0.10701,0.61062,0.19138,0.28538,0.90276,0.9919,0.99881,0.99435,0.97218,0.9919,0.99881,0.99435,0.81869,0.29647,0.46788,0.19231,0.36981,0.35838,0.00128281,0.00128281,0.00128281
33,1022.6,0.1093,0.65537,0.18632,0.27643,0.90402,0.95909,0.97602,0.99249,0.98016,0.95909,0.97602,0.99249,0.80721,0.21787,0.43657,0.15037,0.28704,0.31497,0.0012781,0.0012781,0.0012781
34,1052.85,0.10582,0.61234,0.18931,0.26553,0.90506,0.98751,0.97778,0.99318,0.98953,0.97565,0.96667,0.97294,0.79984,0.20481,0.38002,0.06303,0.23816,0.31111,0.00127338,0.00127338,0.00127338
35,1083.07,0.10525,0.60749,0.1843,0.27766,0.89882,0.98794,0.99836,0.99395,0.98832,0.98794,0.99836,0.99395,0.80077,0.174,0.44374,0.07826,0.33654,0.25243,0.00126867,0.00126867,0.00126867
36,1113.27,0.10351,0.59184,0.18074,0.27774,0.89689,0.99296,1,0.99368,0.98831,0.99296,1,0.99368,0.7941,0.1971,0.44104,0.13227,0.23681,0.26338,0.00126395,0.00126395,0.00126395
